"List of International Organisations for which a simplified reporting of AnaCredit counterparty reference data applies, unless otherwise decided by the relevant NCB",,,,,
"Source landing page: https://www.ecb.europa.eu/stats/ecb_statistics/anacredit/html/index.en.html",,,,,
"Source file: https://www.ecb.europa.eu/stats/money/aggregates/anacredit/shared/pdf/List_of_international_organisations.xlsx",,,,,
"Reuse policy: https://www.ecb.europa.eu/stats/ecb_statistics/governance_and_quality_framework/html/usage_policy.en.html",,,,,
#,International organisation,Head office / Location,Comment,Counterparty identifier (unless otherwise decided by the NCB),International Organisation Code
79,Association of Southeast Asian Nations  [ASEAN],Jakarta,,N$0ECBM00156,6A2
80,Bank for International Settlements [BIS],Basel,,N$0ECBM00164,5B
81,Banque des Etats de l'Afrique Centrale [BEAC],Yaoundé (Cameroon),,N$0ECBM00172,5W
82,Caribbean Community and Common Market  [CARICOM],Georgetown (Guyana),,N$0ECBM00180,6A3
83,Caribbean Development Bank [CDB],St Michael (Barbados),,N$0ECBM00198,5L
84,Central African States Development Bank [CASDB],Brazzaville,,N$0ECBM00206,5P
85,Central American Bank for Economic Integration [CABEI],Tegucigalpa,,N$0ECBM00214,5T
86,Central American Common Market  [CACM],Guatemala City,,N$0ECBM00222,6A4
87,Colombo Plan,Colombo,,N$0ECBM00230,5Z5
88,East African Development Bank [EADB],Kampala,,N$0ECBM00248,6A5
89,Eastern Caribbean Central Bank [ECCB],St.Kitts (West Indies),,N$0ECBM00255,5I
90,Economic Community of West African States  [ECOWAS],Abuja,,N$0ECBM00263,5Z6
91,ECOWAS Bank for Investment and Development [EBID],Lomé (Togo) ,,N$0ECBM00271,6A6
92,Eurasian Development Bank [EDB],Almaty (Kazakhstan),,N$0ECBM00289,7C
93,European Broadcasting Union [EBU],Geneva,,N$0ECBM00297,6K
94,European Company for the Financing of Railroad Rolling Stock  [EUROFIMA],Basel,,N$0ECBM00305,7M
95,European Free Trade Association  [EFTA],Geneva,,N$0ECBM00313,5Z7
96,European Organization for Nuclear Research  [CERN],Geneva,,N$0ECBM00321,6P
97,Foreign Trade Bank of Latin America [Bladex],Panama,,N$0ECBM00339,7I
98,Inter-American Development Bank [IADB],Washington,,N$0ECBM00347,5C
99,Inter-American Investment Corporation [IIC],Washington,,N$0ECBM00354,5G
100,International Bank for Economic Cooperation [IBEC],Moscow,,N$0ECBM00362,5J
101,International Bank for Reconstruction and Development (IBRD) [IBRD],Washington,EU20180000000000065776.2018-10-01.LEI.ZTMSNXROF84AHWJNKQ93,N$0ECBM00370,1E
102,International Centre for Settlement of Investment Disputes - WB Group [ICSID],Washington,,N$0ECBM00388,1G
103,International Civil Aviation Organization  [ICAO],Montreal,,N$0ECBM00396,5Z10
104,International Committee of the Red Cross  [ICRC],Geneva ,,N$0ECBM00404,6D
105,International Cotton Advisory Committee  [ICAC],Washington,,N$0ECBM00412,5Z14
106,International Development Association - WG Group [IDA],Washington,EU20180000000000065776.2018-10-01.LEI.P41R60HC414IWQA1XW02,N$0ECBM00420,1F
107,International Finance Corporation [IFC],Washington,EU20180000000000065776.2018-10-01.LEI.QKL54NQY28TCDAI75F60,N$0ECBM00438,1M
108,International Investment Bank [IIB],Moscow,,N$0ECBM00446,5K
109,International Jute Study Group  [IJSG],Dhaka,,N$0ECBM00453,5Z16
110,International Labour Organization  [ILO],Geneva,,N$0ECBM00461,1S
111,International Monetary Fund [IMF],Washington,,N$0ECBM00479,1C
112,International Organisation for Migration [IOM],Geneva,,N$0ECBM00487,6Q
113,International Telecommunication Union  [ITU],Geneva,,N$0ECBM00495,1T
114,Islamic Development Bank  [IDB],Jeddah,,N$0ECBM00503,7B
115,Latin American and the Caribbean Economic System  [SELA],Caracas,,N$0ECBM00511,5Z23
116,Latin American Association of Development Financing Institutions  [ALIDE],Lima,,N$0ECBM00529,6A7
117,Latin American Energy Organization  [OLADE],Quito,,N$0ECBM00537,5Z24
118,Latin American Integration Association  [LAIA],Montevideo,,N$0ECBM00545,5Z25
119,Latin American Reserve Fund [LARF],Bogotá,,N$0ECBM00552,7J
120,League of Arab States  [LAS],Cairo,,N$0ECBM00560,5Z26
121,Multilateral Investment Guarantee Agency - WB Group [MIGA],Washington,EU20180000000000065776.2018-10-01.LEI.549300ZG5PH6MA164968,N$0ECBM00578,1N
122,North American Development Bank  [NADB],San Antonio,,N$0ECBM00586,5Z44
123,Organisation of Eastern Caribbean States  [OECS],Castries (St Lucia),,N$0ECBM00594,5Z27
