International Grains Council  [IGC],N$0ECBM01048
International Lead and Zinc Study Group  [ILZSG],N$0ECBM01055
International Maritime Organization  [IMO],N$0ECBM01063
International Maritime Satellite Organization  [INMARSAT],N$0ECBM01071
International Olive Oil Council  [IOOC],N$0ECBM01089
International Rubber Study Group  [IRSG],N$0ECBM01097
International Sugar Organization  [ISO],N$0ECBM01105
International Union of Credit and Investment Insurers [Berne Union],N$0ECBM01113
Neighbourhood Investment Facility  [NIF],N$0ECBM01121
Nordic Investment Bank [NIB],N$0ECBM01139
North Atlantic Treaty Organisation  [NATO],N$0ECBM01147
OPEC Fund for International Development [OFID],N$0ECBM01154
Organisation for Economic Co-operation and Development  [OECD],N$0ECBM01162
Organization of the Petroleum Exporting Countries  [OPEC],N$0ECBM01170
Paris Club Creditor Institutions  [Paris Club],N$0ECBM01188
"United Nations Educational, Scientific and Cultural Organization  [UNESCO]",N$0ECBM01196
World Tourism Organization [UNWTO],N$0ECBM01204
The Permanent Court of Arbitration [PCA],N$0ECBM01212
European Free Trade Association Court [EFTA COURT],N$ECBM02097
NATO Support and Procurement Organisation [NSPO],N$ECBM02105
The Eastern and Southern African Trade and Development Bank [TDB],N$ECBM846154
International Council for the Exploration of the Sea [ICES],N$ECBM846162
United Nations Relief and Works Agency for Palestine [UNRWA],N$ECBM846170
Asian Infrastructure Investment Bank [AIIB],N$ECBM846204
United Nations High Commissioner for Refugees [UNHCR],N$ECBM846394
United Nations Economic Commission for Europe [UNECE],N$ECBM894782
International Telecommunications Satellite Organisation [ITSO],N$ECBM894790
"The Global Fund to Fight AIDS, Tuberculosis and Malaria [GLOBAL FUND]",N$ECBM922971
United Nations Framework Convention for Climate Change [UNFCCC],N$ECBM922997
International Energy Agency [IEA],N$ECBM923003
